Datetime,Temp,Humidity(%),Atmospheric_pressure(Pa),PM_1.0,PM_2.5,PM_10,CPU_temp
2022-12-15 23:59:20,32.32,56.71,100613.95,73.0,112.0,123.0,61.224
2022-12-15 23:59:30,32.34,55.98,100618.48,73.0,111.0,123.0,60.686
2022-12-15 23:59:40,32.36,56.61,100621.84,75.0,113.0,123.0,61.224
2022-12-15 23:59:50,32.35,56.33,100624.97,73.0,114.0,121.0,60.686
2022-12-16 00:00:00,32.34,57.34,100625.97,71.0,111.0,123.0,61.762
2022-12-16 00:00:10,32.35,56.35,100625.05,67.0,103.0,115.0,61.224
2022-12-16 00:00:20,32.39,55.85,100625.02,70.0,102.0,111.0,61.224
2022-12-16 00:00:30,32.39,57.15,100625.27,73.0,111.0,119.0,61.224
2022-12-16 00:00:40,32.42,56.12,100626.41,74.0,111.0,122.0,61.224
2022-12-16 00:00:50,32.39,57.24,100627.48,77.0,110.0,117.0,61.762
2022-12-16 00:01:00,32.37,56.82,100627.94,77.0,113.0,119.0,61.224
2022-12-16 00:01:10,32.39,56.24,100629.19,78.0,118.0,125.0,61.224
2022-12-16 00:01:20,32.4,57.78,100627.48,75.0,115.0,120.0,61.762
2022-12-16 00:01:30,32.39,57.16,100629.37,73.0,113.0,119.0,61.224
2022-12-16 00:01:40,32.37,56.41,100626.44,76.0,113.0,123.0,61.224
2022-12-16 00:01:50,32.36,56.38,100628.08,76.0,115.0,126.0,61.224
2022-12-16 00:02:00,32.37,57.55,100629.97,76.0,117.0,121.0,61.762
2022-12-16 00:02:10,32.37,56.62,100628.69,75.0,116.0,127.0,61.224
2022-12-16 00:02:20,32.36,56.8,100629.29,74.0,113.0,121.0,61.762
2022-12-16 00:02:30,32.36,56.76,100628.12,78.0,123.0,128.0,61.224
2022-12-16 00:02:40,32.38,56.93,100631.61,79.0,117.0,130.0,61.224
2022-12-16 00:02:50,32.39,56.06,100626.23,80.0,114.0,127.0,61.762
2022-12-16 00:03:00,32.4,56.71,100626.34,80.0,118.0,129.0,61.224
2022-12-16 00:03:10,32.42,56.6,100627.16,83.0,125.0,136.0,61.224
2022-12-16 00:03:20,32.41,56.26,100628.27,82.0,127.0,140.0,61.224
2022-12-16 00:03:30,32.41,56.68,100625.63,80.0,124.0,135.0,61.224
2022-12-16 00:03:40,32.42,57.02,100627.73,83.0,125.0,136.0,61.762
2022-12-16 00:03:50,32.43,56.3,100626.02,84.0,123.0,136.0,61.224
2022-12-16 00:04:00,32.41,56.31,100626.09,83.0,121.0,133.0,61.224
2022-12-16 00:04:10,32.4,56.28,100625.34,81.0,124.0,134.0,61.224
2022-12-16 00:04:20,32.4,56.47,100625.48,83.0,123.0,132.0,61.224
2022-12-16 00:04:30,32.42,56.39,100625.16,82.0,126.0,137.0,61.762
2022-12-16 00:04:40,32.41,56.03,100624.38,83.0,127.0,138.0,61.762
2022-12-16 00:04:50,32.43,57.49,100626.42,87.0,137.0,149.0,61.762
2022-12-16 00:05:00,32.42,56.03,100625.77,86.0,132.0,149.0,61.224
2022-12-16 00:05:10,32.43,56.02,100625.23,85.0,129.0,142.0,61.224
2022-12-16 00:05:20,32.39,57.48,100623.84,85.0,132.0,146.0,61.224
2022-12-16 00:05:30,32.35,56.79,100625.08,84.0,133.0,145.0,62.3
2022-12-16 00:05:40,32.33,56.95,100622.69,87.0,132.0,136.0,61.224
2022-12-16 00:05:50,32.33,57.56,100622.97,87.0,129.0,141.0,61.224
2022-12-16 00:06:00,32.29,56.71,100623.04,89.0,141.0,150.0,61.224
2022-12-16 00:06:10,32.3,56.34,100625.36,83.0,126.0,136.0,62.3
2022-12-16 00:06:20,32.28,55.96,100624.36,85.0,133.0,142.0,62.3
